id	name	country_id	province_id	district_id	dsd_id	ed_id	area	population	hasc	subs	supers	eqs	ints	centroid	centroid_altitude
LK-1136	Kesbewa	LK	LK-1	LK-11	LK-1136	EC-01	64.0	245232	LK.CO.KE	['LG-11361', 'LG-11362', 'MOH-11361', 'MOH-11362']	['EC-01', 'LK-11']	['EC-01N']	[]	[6.803435292895654, 79.92835495053856]	14
LK-1203	Negombo	LK	LK-1	LK-12	LK-1203	EC-02	50.0	142136	LK.GQ.NE	['LK-1203005', 'LK-1203010', 'LK-1203015', 'LK-1203020', 'LK-1203025', 'LK-1203030', 'LK-1203035', 'LK-1203040', 'LK-1203045', 'LK-1203050', 'LK-1203055', 'LK-1203060', 'LK-1203065', 'LK-1203070', 'LK-1203075', 'LK-1203080', 'LK-1203085', 'LK-1203090', 'LK-1203095', 'LK-1203100', 'LK-1203105', 'LK-1203110', 'LK-1203115', 'LK-1203120', 'LK-1203125', 'LK-1203130', 'LK-1203135', 'LK-1203140', 'LK-1203145', 'LK-1203150', 'LK-1203155', 'LK-1203160', 'LK-1203165', 'LK-1203170', 'LK-1203175', 'LK-1203180', 'LK-1203185', 'LK-1203190', 'LK-1203195']	['EC-02', 'LK-12']	['EC-02B', 'LG-12030', 'MOH-12030']	[]	[7.212874789862919, 79.8446865179599]	10
LK-1206	Katana	LK	LK-1	LK-12	LK-1206	EC-02	116.0	235291	LK.GQ.KA	['LG-12061', 'MOH-12062']	['EC-02', 'LK-12']	['EC-02C']	[]	[7.194243835706533, 79.88958930662155]	17
LK-1209	Divulapitiya	LK	LK-1	LK-12	LK-1209	EC-02	202.0	144506	LK.GQ.DI	['LK-1209005', 'LK-1209010', 'LK-1209015', 'LK-1209020', 'LK-1209025', 'LK-1209030', 'LK-1209035', 'LK-1209040', 'LK-1209045', 'LK-1209050', 'LK-1209055', 'LK-1209060', 'LK-1209065', 'LK-1209070', 'LK-1209075', 'LK-1209080', 'LK-1209085', 'LK-1209090', 'LK-1209095', 'LK-1209100', 'LK-1209105', 'LK-1209110', 'LK-1209115', 'LK-1209120', 'LK-1209125', 'LK-1209130', 'LK-1209135', 'LK-1209140', 'LK-1209145', 'LK-1209150', 'LK-1209155', 'LK-1209160', 'LK-1209165', 'LK-1209170', 'LK-1209175', 'LK-1209180', 'LK-1209185', 'LK-1209190', 'LK-1209195', 'LK-1209200', 'LK-1209205', 'LK-1209210', 'LK-1209215', 'LK-1209220', 'LK-1209225', 'LK-1209230', 'LK-1209235', 'LK-1209240', 'LK-1209245', 'LK-1209250', 'LK-1209255', 'LK-1209260', 'LK-1209265', 'LK-1209270', 'LK-1209275', 'LK-1209280', 'LK-1209285', 'LK-1209290', 'LK-1209295', 'LK-1209300', 'LK-1209305', 'LK-1209310', 'LK-1209315', 'LK-1209320', 'LK-1209325', 'LK-1209330', 'LK-1209335', 'LK-1209340', 'LK-1209345', 'LK-1209350', 'LK-1209355', 'LK-1209360', 'LK-1209365', 'LK-1209370', 'LK-1209375', 'LK-1209380', 'LK-1209385', 'LK-1209390', 'LK-1209395', 'LK-1209400', 'LK-1209405', 'LK-1209410', 'LK-1209415', 'LK-1209420', 'LK-1209425', 'LK-1209430', 'LK-1209435', 'LK-1209440', 'LK-1209445', 'LK-1209450', 'LK-1209455', 'LK-1209460', 'LK-1209465', 'LK-1209470', 'LK-1209475', 'LK-1209480', 'LK-1209485', 'LK-1209490', 'LK-1209495', 'LK-1209500', 'LK-1209505', 'LK-1209510', 'LK-1209515', 'LK-1209520', 'LK-1209525', 'LK-1209530', 'LK-1209535', 'LK-1209540', 'LK-1209545', 'LK-1209550', 'LK-1209555', 'LK-1209560', 'LK-1209565', 'LK-1209570', 'LK-1209575', 'LK-1209580', 'LK-1209585', 'LK-1209590', 'LK-1209595', 'LK-1209600', 'LK-1209605', 'LK-1209610', 'LK-1209615']	['EC-02', 'LK-12']	['EC-02D', 'LG-12090', 'MOH-12090']	[]	[7.254016753729893, 80.00747218087442]	26
LK-1212	Mirigama	LK	LK-1	LK-12	LK-1212	EC-02	183.0	164580	LK.GQ.MR	['LK-1212005', 'LK-1212010', 'LK-1212015', 'LK-1212020', 'LK-1212025', 'LK-1212030', 'LK-1212035', 'LK-1212040', 'LK-1212045', 'LK-1212050', 'LK-1212055', 'LK-1212060', 'LK-1212065', 'LK-1212070', 'LK-1212075', 'LK-1212080', 'LK-1212085', 'LK-1212090', 'LK-1212095', 'LK-1212100', 'LK-1212105', 'LK-1212110', 'LK-1212115', 'LK-1212120', 'LK-1212125', 'LK-1212130', 'LK-1212135', 'LK-1212140', 'LK-1212145', 'LK-1212150', 'LK-1212155', 'LK-1212160', 'LK-1212165', 'LK-1212170', 'LK-1212175', 'LK-1212180', 'LK-1212185', 'LK-1212190', 'LK-1212195', 'LK-1212200', 'LK-1212205', 'LK-1212210', 'LK-1212215', 'LK-1212220', 'LK-1212225', 'LK-1212230', 'LK-1212235', 'LK-1212240', 'LK-1212245', 'LK-1212250', 'LK-1212255', 'LK-1212260', 'LK-1212265', 'LK-1212270', 'LK-1212275', 'LK-1212280', 'LK-1212285', 'LK-1212290', 'LK-1212295', 'LK-1212300', 'LK-1212305', 'LK-1212310', 'LK-1212315', 'LK-1212320', 'LK-1212325', 'LK-1212330', 'LK-1212335', 'LK-1212340', 'LK-1212345', 'LK-1212350', 'LK-1212355', 'LK-1212360', 'LK-1212365', 'LK-1212370', 'LK-1212375', 'LK-1212380', 'LK-1212385', 'LK-1212390', 'LK-1212395', 'LK-1212400', 'LK-1212405', 'LK-1212410', 'LK-1212415', 'LK-1212420', 'LK-1212425', 'LK-1212430', 'LK-1212435', 'LK-1212440', 'LK-1212445', 'LK-1212450', 'LK-1212455', 'LK-1212460', 'LK-1212465', 'LK-1212470', 'LK-1212475', 'LK-1212480', 'LK-1212485', 'LK-1212490', 'LK-1212495', 'LK-1212500', 'LK-1212505', 'LK-1212510', 'LK-1212515', 'LK-1212520', 'LK-1212525', 'LK-1212530', 'LK-1212535', 'LK-1212540', 'LK-1212545', 'LK-1212550', 'LK-1212555', 'LK-1212560', 'LK-1212565', 'LK-1212570', 'LK-1212575', 'LK-1212580', 'LK-1212585', 'LK-1212590', 'LK-1212595', 'LK-1212600', 'LK-1212605', 'LK-1212610', 'LK-1212615', 'LK-1212620', 'LK-1212625', 'LK-1212630', 'LK-1212635', 'LK-1212640', 'LK-1212645', 'LK-1212650', 'LK-1212655', 'LK-1212660', 'LK-1212665', 'LK-1212670', 'LK-1212675', 'LK-1212680', 'LK-1212685', 'LK-1212690', 'LK-1212695', 'LK-1212700', 'LK-1212705', 'LK-1212710', 'LK-1212715', 'LK-1212720', 'LK-1212725', 'LK-1212730', 'LK-1212735', 'LK-1212740', 'LK-1212745']	['EC-02', 'LK-12']	['EC-02E', 'LG-12120', 'MOH-12120']	[]	[7.224808068682941, 80.12379337279562]	105
LK-1215	Minuwangoda	LK	LK-1	LK-12	LK-1215	EC-02	128.0	178331	LK.GQ.MN	['LG-12151', 'LG-12152']	['EC-02', 'LK-12']	['EC-02F', 'MOH-12150']	[]	[7.1549553353924, 79.97869371258021]	9
LK-1218	Wattala	LK	LK-1	LK-12	LK-1218	EC-02	54.0	175525	LK.GQ.WA	['LG-12182', 'MOH-12182']	['EC-02', 'LK-12']	['EC-02A']	['MOH-12181']	[7.035125948212447, 79.8810421897814]	1
LK-1221	Ja-Ela	LK	LK-1	LK-12	LK-1221	EC-02	60.0	201521	LK.GQ.JE	['LG-12211', 'MOH-12211']	['EC-02', 'LK-12']	['EC-02I']	['MOH-12181']	[7.0717657270875, 79.90886346605242]	15
LK-1224	Gampaha	LK	LK-1	LK-12	LK-1224	EC-02	96.0	197667	LK.GQ.GA	['LG-12241', 'LG-12242']	['EC-02', 'LK-12']	['EC-02H', 'MOH-12240']	[]	[7.071005807926553, 79.99326239013746]	25
LK-1227	Attanagalla	LK	LK-1	LK-12	LK-1227	EC-02	149.0	179565	LK.GQ.AT	['LK-1227005', 'LK-1227010', 'LK-1227015', 'LK-1227020', 'LK-1227025', 'LK-1227030', 'LK-1227035', 'LK-1227040', 'LK-1227045', 'LK-1227050', 'LK-1227055', 'LK-1227060', 'LK-1227065', 'LK-1227070', 'LK-1227075', 'LK-1227080', 'LK-1227085', 'LK-1227090', 'LK-1227095', 'LK-1227100', 'LK-1227105', 'LK-1227110', 'LK-1227115', 'LK-1227120', 'LK-1227125', 'LK-1227130', 'LK-1227135', 'LK-1227140', 'LK-1227145', 'LK-1227150', 'LK-1227155', 'LK-1227160', 'LK-1227165', 'LK-1227170', 'LK-1227175', 'LK-1227180', 'LK-1227185', 'LK-1227190', 'LK-1227195', 'LK-1227200', 'LK-1227205', 'LK-1227210', 'LK-1227215', 'LK-1227220', 'LK-1227225', 'LK-1227230', 'LK-1227235', 'LK-1227240', 'LK-1227245', 'LK-1227250', 'LK-1227255', 'LK-1227260', 'LK-1227265', 'LK-1227270', 'LK-1227275', 'LK-1227280', 'LK-1227285', 'LK-1227290', 'LK-1227295', 'LK-1227300', 'LK-1227305', 'LK-1227310', 'LK-1227315', 'LK-1227320', 'LK-1227325', 'LK-1227330', 'LK-1227335', 'LK-1227340', 'LK-1227345', 'LK-1227350', 'LK-1227355', 'LK-1227360', 'LK-1227365', 'LK-1227370', 'LK-1227375', 'LK-1227380', 'LK-1227385', 'LK-1227390', 'LK-1227395', 'LK-1227400', 'LK-1227405', 'LK-1227410', 'LK-1227415', 'LK-1227420', 'LK-1227425', 'LK-1227430', 'LK-1227435', 'LK-1227440', 'LK-1227445', 'LK-1227450', 'LK-1227455', 'LK-1227460', 'LK-1227465', 'LK-1227470', 'LK-1227475', 'LK-1227480', 'LK-1227485', 'LK-1227490', 'LK-1227495', 'LK-1227500', 'LK-1227505', 'LK-1227510', 'LK-1227515', 'LK-1227520', 'LK-1227525', 'LK-1227530', 'LK-1227535', 'LK-1227540', 'LK-1227545', 'LK-1227550', 'LK-1227555', 'LK-1227560', 'LK-1227565', 'LK-1227570', 'LK-1227575', 'LK-1227580', 'LK-1227585', 'LK-1227590', 'LK-1227595', 'LK-1227600', 'LK-1227605', 'LK-1227610', 'LK-1227615', 'LK-1227620', 'LK-1227625', 'LK-1227630', 'LK-1227635', 'LK-1227640', 'LK-1227645', 'LK-1227650', 'LK-1227655', 'LK-1227660', 'LK-1227665', 'LK-1227670', 'LK-1227675', 'LK-1227680', 'LK-1227685', 'LK-1227690', 'LK-1227695', 'LK-1227700', 'LK-1227705', 'LK-1227710', 'LK-1227715', 'LK-1227720', 'LK-1227725', 'LK-1227730', 'LK-1227735', 'LK-1227740', 'LK-1227745', 'LK-1227750', 'LK-1227755']	['EC-02', 'LK-12']	['EC-02G', 'LG-12270', 'MOH-12270']	[]	[7.114598126462674, 80.10999683144603]	49
LK-1230	Dompe	LK	LK-1	LK-12	LK-1230	EC-02	176.0	154005	LK.GQ.DO	['LK-1230005', 'LK-1230010', 'LK-1230015', 'LK-1230020', 'LK-1230025', 'LK-1230030', 'LK-1230035', 'LK-1230040', 'LK-1230045', 'LK-1230050', 'LK-1230055', 'LK-1230060', 'LK-1230065', 'LK-1230070', 'LK-1230075', 'LK-1230080', 'LK-1230085', 'LK-1230090', 'LK-1230095', 'LK-1230100', 'LK-1230105', 'LK-1230110', 'LK-1230115', 'LK-1230120', 'LK-1230125', 'LK-1230130', 'LK-1230135', 'LK-1230140', 'LK-1230145', 'LK-1230150', 'LK-1230155', 'LK-1230160', 'LK-1230165', 'LK-1230170', 'LK-1230175', 'LK-1230180', 'LK-1230185', 'LK-1230190', 'LK-1230195', 'LK-1230200', 'LK-1230205', 'LK-1230210', 'LK-1230215', 'LK-1230220', 'LK-1230225', 'LK-1230230', 'LK-1230235', 'LK-1230240', 'LK-1230245', 'LK-1230250', 'LK-1230255', 'LK-1230260', 'LK-1230265', 'LK-1230270', 'LK-1230275', 'LK-1230280', 'LK-1230285', 'LK-1230290', 'LK-1230295', 'LK-1230300', 'LK-1230305', 'LK-1230310', 'LK-1230315', 'LK-1230320', 'LK-1230325', 'LK-1230330', 'LK-1230335', 'LK-1230340', 'LK-1230345', 'LK-1230350', 'LK-1230355', 'LK-1230360', 'LK-1230365', 'LK-1230370', 'LK-1230375', 'LK-1230380', 'LK-1230385', 'LK-1230390', 'LK-1230395', 'LK-1230400', 'LK-1230405', 'LK-1230410', 'LK-1230415', 'LK-1230420', 'LK-1230425', 'LK-1230430', 'LK-1230435', 'LK-1230440', 'LK-1230445', 'LK-1230450', 'LK-1230455', 'LK-1230460', 'LK-1230465', 'LK-1230470', 'LK-1230475', 'LK-1230480', 'LK-1230485', 'LK-1230490', 'LK-1230495', 'LK-1230500', 'LK-1230505', 'LK-1230510', 'LK-1230515', 'LK-1230520', 'LK-1230525', 'LK-1230530', 'LK-1230535', 'LK-1230540', 'LK-1230545', 'LK-1230550', 'LK-1230555', 'LK-1230560', 'LK-1230565', 'LK-1230570', 'LK-1230575', 'LK-1230580', 'LK-1230585', 'LK-1230590', 'LK-1230595', 'LK-1230600', 'LK-1230605', 'LK-1230610', 'LK-1230615', 'LK-1230620', 'LK-1230625', 'LK-1230630', 'LK-1230635', 'LK-1230640', 'LK-1230645', 'LK-1230650', 'LK-1230655', 'LK-1230660', 'LK-1230665']	['EC-02', 'LK-12']	['EC-02K', 'LG-12300', 'MOH-12300']	[]	[6.9907219537184035, 80.09904029768813]	22
LK-1233	Mahara	LK	LK-1	LK-12	LK-1233	EC-02	94.0	207782	LK.GQ.MA	['LK-1233005', 'LK-1233010', 'LK-1233015', 'LK-1233020', 'LK-1233025', 'LK-1233030', 'LK-1233035', 'LK-1233040', 'LK-1233045', 'LK-1233050', 'LK-1233055', 'LK-1233060', 'LK-1233065', 'LK-1233070', 'LK-1233075', 'LK-1233080', 'LK-1233085', 'LK-1233090', 'LK-1233095', 'LK-1233100', 'LK-1233105', 'LK-1233110', 'LK-1233115', 'LK-1233120', 'LK-1233125', 'LK-1233130', 'LK-1233135', 'LK-1233140', 'LK-1233145', 'LK-1233150', 'LK-1233155', 'LK-1233160', 'LK-1233165', 'LK-1233170', 'LK-1233175', 'LK-1233180', 'LK-1233185', 'LK-1233190', 'LK-1233195', 'LK-1233200', 'LK-1233205', 'LK-1233210', 'LK-1233215', 'LK-1233220', 'LK-1233225', 'LK-1233230', 'LK-1233235', 'LK-1233240', 'LK-1233245', 'LK-1233250', 'LK-1233255', 'LK-1233260', 'LK-1233265', 'LK-1233270', 'LK-1233275', 'LK-1233280', 'LK-1233285', 'LK-1233290', 'LK-1233295', 'LK-1233300', 'LK-1233305', 'LK-1233310', 'LK-1233315', 'LK-1233320', 'LK-1233325', 'LK-1233330', 'LK-1233335', 'LK-1233340', 'LK-1233345', 'LK-1233350', 'LK-1233355', 'LK-1233360', 'LK-1233365', 'LK-1233370', 'LK-1233375', 'LK-1233380', 'LK-1233385', 'LK-1233390', 'LK-1233395', 'LK-1233400', 'LK-1233405', 'LK-1233410', 'LK-1233415', 'LK-1233420', 'LK-1233425', 'LK-1233430', 'LK-1233435', 'LK-1233440', 'LK-1233445', 'LK-1233450', 'LK-1233455', 'LK-1233460']	['EC-02', 'LK-12']	['EC-02J', 'LG-12330', 'MOH-12330']	[]	[7.029574267405534, 80.0154031231892]	39
LK-1236	Kelaniya	LK	LK-1	LK-12	LK-1236	EC-02	20.0	137339	LK.GQ.KE	['LG-12361', 'LG-12362']	['EC-02', 'LK-12']	['EC-02M', 'MOH-12360']	[]	[6.970149790211884, 79.90981006262805]	6
LK-1239	Biyagama	LK	LK-1	LK-12	LK-1239	EC-02	59.0	186585	LK.GQ.BI	['LK-1239005', 'LK-1239010', 'LK-1239015', 'LK-1239020', 'LK-1239025', 'LK-1239030', 'LK-1239035', 'LK-1239040', 'LK-1239045', 'LK-1239050', 'LK-1239055', 'LK-1239060', 'LK-1239065', 'LK-1239070', 'LK-1239075', 'LK-1239080', 'LK-1239085', 'LK-1239090', 'LK-1239095', 'LK-1239100', 'LK-1239105', 'LK-1239110', 'LK-1239115', 'LK-1239120', 'LK-1239125', 'LK-1239130', 'LK-1239135', 'LK-1239140', 'LK-1239145', 'LK-1239150', 'LK-1239155', 'LK-1239160', 'LK-1239165', 'LK-1239170', 'LK-1239175', 'LK-1239180', 'LK-1239185', 'LK-1239190', 'LK-1239195', 'LK-1239200', 'LK-1239205', 'LK-1239210', 'LK-1239215', 'LK-1239220', 'LK-1239225', 'LK-1239230', 'LK-1239235', 'LK-1239240', 'LK-1239245']	['EC-02', 'LK-12']	['EC-02L', 'LG-12390', 'MOH-12390']	[]	[6.968992941367569, 79.9780274578218]	33
LK-1303	Panadura	LK	LK-1	LK-13	LK-1303	EC-03	44.0	182285	LK.KT.PN	['LG-13031', 'LG-13032']	['MOH-13031']	['EC-03A']	[]	[6.7156853218898, 79.92321225050313]	6
LK-1306	Bandaragama	LK	LK-1	LK-13	LK-1306	EC-03	56.0	109236	LK.KT.BA	['LK-1306005', 'LK-1306010', 'LK-1306015', 'LK-1306020', 'LK-1306025', 'LK-1306030', 'LK-1306035', 'LK-1306040', 'LK-1306045', 'LK-1306050', 'LK-1306055', 'LK-1306060', 'LK-1306065', 'LK-1306070', 'LK-1306075', 'LK-1306080', 'LK-1306085', 'LK-1306090', 'LK-1306095', 'LK-1306100', 'LK-1306105', 'LK-1306110', 'LK-1306115', 'LK-1306120', 'LK-1306125', 'LK-1306130', 'LK-1306135', 'LK-1306140', 'LK-1306145', 'LK-1306150', 'LK-1306155', 'LK-1306160', 'LK-1306165', 'LK-1306170', 'LK-1306175', 'LK-1306180', 'LK-1306185', 'LK-1306190', 'LK-1306195', 'LK-1306200', 'LK-1306205', 'LK-1306210', 'LK-1306215', 'LK-1306220', 'LK-1306225', 'LK-1306230', 'LK-1306235', 'LK-1306240', 'LK-1306245', 'LK-1306250', 'LK-1306255', 'LK-1306260', 'LK-1306265', 'LK-1306270', 'LK-1306275', 'LK-1306280', 'LK-1306285', 'LK-1306290', 'LK-1306295']	['EC-03B']	['LG-13060', 'MOH-13060']	[]	[6.719086032604165, 79.97530837290546]	4
LK-1309	Horana	LK	LK-1	LK-13	LK-1309	EC-03	109.0	113364	LK.KT.HO	['LG-13092', 'LK-1309005', 'LK-1309010', 'LK-1309015', 'LK-1309020', 'LK-1309025', 'LK-1309030', 'LK-1309035', 'LK-1309040', 'LK-1309045', 'LK-1309050', 'LK-1309055', 'LK-1309060', 'LK-1309065', 'LK-1309070', 'LK-1309075', 'LK-1309080', 'LK-1309085', 'LK-1309090', 'LK-1309095', 'LK-1309100', 'LK-1309105', 'LK-1309110', 'LK-1309115', 'LK-1309120', 'LK-1309125', 'LK-1309130', 'LK-1309135', 'LK-1309140', 'LK-1309145', 'LK-1309150', 'LK-1309155', 'LK-1309160', 'LK-1309165', 'LK-1309170', 'LK-1309175', 'LK-1309180', 'LK-1309185', 'LK-1309190', 'LK-1309195', 'LK-1309200', 'LK-1309205', 'LK-1309210', 'LK-1309215', 'LK-1309220', 'LK-1309225', 'LK-1309230', 'LK-1309235', 'LK-1309240', 'LK-1309245', 'LK-1309250', 'LK-1309255', 'LK-1309260', 'LK-1309270', 'LK-1309275', 'LK-1309295', 'LK-1309300']	['EC-03C']	['MOH-13090']	['LG-13091']	[6.756326323148559, 80.0559156186724]	19
LK-1310	Ingiriya	LK	LK-1	LK-13	LK-1310	EC-03	90.0	53896	LK.KT.IN	['LK-1310005', 'LK-1310010', 'LK-1310015', 'LK-1310020', 'LK-1310025', 'LK-1310030', 'LK-1310035', 'LK-1310040', 'LK-1310045', 'LK-1310050', 'LK-1310055', 'LK-1310060', 'LK-1310065', 'LK-1310070', 'LK-1310075', 'LK-1310080', 'LK-1310085', 'LK-1310090', 'LK-1310095', 'LK-1310100', 'LK-1310105', 'LK-1310110', 'LK-1310115', 'LK-1310120', 'LK-1310125', 'LK-1310130', 'LK-1310135', 'LK-1310140', 'LK-1310145', 'LK-1310150', 'LK-1310155']	['LG-13091']	['MOH-13100']	[]	[6.762736207312393, 80.15175802969218]	60
LK-1312	Bulathsinhala	LK	LK-1	LK-13	LK-1312	EC-03	206.0	64600	LK.KT.BU	['LK-1312005', 'LK-1312010', 'LK-1312015', 'LK-1312020', 'LK-1312025', 'LK-1312030', 'LK-1312035', 'LK-1312040', 'LK-1312045', 'LK-1312050', 'LK-1312055', 'LK-1312060', 'LK-1312065', 'LK-1312070', 'LK-1312075', 'LK-1312080', 'LK-1312085', 'LK-1312090', 'LK-1312095', 'LK-1312100', 'LK-1312105', 'LK-1312110', 'LK-1312115', 'LK-1312120', 'LK-1312125', 'LK-1312130', 'LK-1312135', 'LK-1312140', 'LK-1312145', 'LK-1312150', 'LK-1312155', 'LK-1312160', 'LK-1312165', 'LK-1312170', 'LK-1312175', 'LK-1312180', 'LK-1312185', 'LK-1312190', 'LK-1312195', 'LK-1312200', 'LK-1312205', 'LK-1312210', 'LK-1312215', 'LK-1312220', 'LK-1312225', 'LK-1312230', 'LK-1312235', 'LK-1312240', 'LK-1312245', 'LK-1312250', 'LK-1312255', 'LK-1312260', 'LK-1312265', 'LK-1312270']	['EC-03D']	['LG-13120', 'MOH-13120']	[]	[6.64854881536418, 80.17526812478455]	37
